"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","581","pcv0gpxj8dz","squirrel","","","","","","","","","",""
"true","","","","","fullscreen","1","null","5747","pcv0gpxj8dz","squirrel","4164","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","9628","pcv0gpxj8dz","squirrel","3879","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","12816","pcv0gpxj8dz","squirrel","3185","","{""participant_id"":""squirrel""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","17046","pcv0gpxj8dz","squirrel","4227","","{""image_description"":""Square\n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","78677","pcv0gpxj8dz","squirrel","61129","","{""image_description"":""Rectangle that morphs into sharp edges to the right and become more triangular. Similar to a face with a sharp jawline and a pointy bang.""}","study","38","stimuli/38.jpg","6702.45","10","Rectangle that morphs into sharp edges to the right and become more triangular. Similar to a face with a sharp jawline and a pointy bang.","25"
"","","","","","survey-text","6","2.0.0","82795","pcv0gpxj8dz","squirrel","3613","","{""image_description"":""Trapezoid\n""}","study","9","stimuli/9.jpg","6544.29","4","Trapezoid
","1"
"","","","","","survey-text","7","2.0.0","106012","pcv0gpxj8dz","squirrel","22714","","{""image_description"":""A triangular headed person waving hi who is stretching his legs out ""}","study","147","stimuli/147.jpg","7182.98","32","A triangular headed person waving hi who is stretching his legs out ","13"
"","","","","","survey-text","8","2.0.0","140495","pcv0gpxj8dz","squirrel","33979","","{""image_description"":""A person striking a pose with his arms stretched out and facing down with his legs close together.""}","study","145","stimuli/145.jpg","7185.33","31","A person striking a pose with his arms stretched out and facing down with his legs close together.","18"
"","","","","","survey-text","9","2.0.0","194820","pcv0gpxj8dz","squirrel","53831","","{""image_description"":""A large shape that narrows down to the middle with a short hand on the left and a long hand on the right. The shape resembles a person with a slanted head and hairline.""}","study","61","stimuli/61.jpg","6864.98","15","A large shape that narrows down to the middle with a short hand on the left and a long hand on the right. The shape resembles a person with a slanted head and hairline.","34"
"","","","","","survey-text","10","2.0.0","221952","pcv0gpxj8dz","squirrel","26629","","{""image_description"":""A flying cannon with the top shape as wings and the left side being a large opening for the mouth and the bottom being the wheels or base.""}","study","109","stimuli/109.jpg","6984.61","24","A flying cannon with the top shape as wings and the left side being a large opening for the mouth and the bottom being the wheels or base.","28"
"","","","","","survey-text","11","2.0.0","247583","pcv0gpxj8dz","squirrel","25128","","{""image_description"":""A ship; with the top shape being the flag and the stretched base to the bottom being the pole, with the shape at the bottom as a base of the boat.""}","study","80","stimuli/80.jpg","6806.13","18","A ship; with the top shape being the flag and the stretched base to the bottom being the pole, with the shape at the bottom as a base of the boat.","31"
"","","","","","survey-text","12","2.0.0","274185","pcv0gpxj8dz","squirrel","26097","","{""image_description"":""Similar to Florida, a slanted shape that has a jagged end on the right side.""}","study","50","stimuli/50.jpg","6725.34","12","Similar to Florida, a slanted shape that has a jagged end on the right side.","15"
"","","","","","survey-text","13","2.0.0","281934","pcv0gpxj8dz","squirrel","7246","","{""image_description"":""A parallelogram; rhombus\n""}","study","8","stimuli/8.jpg","6564.91","4","A parallelogram; rhombus
","3"
"","","","","","survey-text","14","2.0.0","360200","pcv0gpxj8dz","squirrel","77764","","{""image_description"":""A crown shape with three points, left being a sharp edge, middle being a tomahawk shape with a jagged end, and a rounded edge that may resemble a handle""}","study","37","stimuli/37.jpg","6725.55","10","A crown shape with three points, left being a sharp edge, middle being a tomahawk shape with a jagged end, and a rounded edge that may resemble a handle","29"
"","","","","","survey-text","15","2.0.0","410834","pcv0gpxj8dz","squirrel","50131","","{""image_description"":""A random shape that has morphed in all sides that has more straight lines on the bottom and more jagged lines on the top.""}","study","96","stimuli/96.jpg","6946.2","22","A random shape that has morphed in all sides that has more straight lines on the bottom and more jagged lines on the top.","24"
