"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","783","p3a712ar8yz","camel","","","","","","","","","",""
"true","","","","","fullscreen","1","null","2718","p3a712ar8yz","camel","919","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","24102","p3a712ar8yz","camel","21381","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","25921","p3a712ar8yz","camel","1781","","{""participant_id"":""camel""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","33320","p3a712ar8yz","camel","7394","","{""image_description"":""a square\n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","44917","p3a712ar8yz","camel","11079","","{""image_description"":""jagged edges on corners of a rectangle\n""}","study","63","stimuli/63.jpg","6749.45","15","jagged edges on corners of a rectangle
","7"
"","","","","","survey-text","6","2.0.0","74606","p3a712ar8yz","camel","29174","","{""image_description"":""a series of lines forming a warped image; jutting out sections similar to rectangle shapes\n""}","study","108","stimuli/108.jpg","7046.82","24","a series of lines forming a warped image; jutting out sections similar to rectangle shapes
","15"
"","","","","","survey-text","7","2.0.0","108423","p3a712ar8yz","camel","33304","","{""image_description"":""a base rectangle in the center with other lines jutting out, forming a trapezoid on the left and a triangular shape to the top right\n""}","study","96","stimuli/96.jpg","6946.2","22","a base rectangle in the center with other lines jutting out, forming a trapezoid on the left and a triangular shape to the top right
","25"
"","","","","","survey-text","8","2.0.0","123216","p3a712ar8yz","camel","14279","","{""image_description"":""a long trapezoidal figure, with at triangle at the bottom""}","study","19","stimuli/19.jpg","6604.19","6","a long trapezoidal figure, with at triangle at the bottom","10"
"","","","","","survey-text","9","2.0.0","131404","p3a712ar8yz","camel","7684","","{""image_description"":""a rectangle with a bent edge top right""}","study","11","stimuli/11.jpg","6580.42","5","a rectangle with a bent edge top right","8"
"","","","","","survey-text","10","2.0.0","143782","p3a712ar8yz","camel","11867","","{""image_description"":""sort of like an arrow head, warped rectangle on the left section""}","study","46","stimuli/46.jpg","6754.16","12","sort of like an arrow head, warped rectangle on the left section","12"
