"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","1014","pvvs8tb5l8c","turtle","","","","","","","","","",""
"true","","","","","fullscreen","1","null","3338","pvvs8tb5l8c","turtle","1316","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","14068","pvvs8tb5l8c","turtle","10728","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","17022","pvvs8tb5l8c","turtle","2947","","{""participant_id"":""turtle""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","31194","pvvs8tb5l8c","turtle","14156","","{""image_description"":""a rectangle \n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","72381","pvvs8tb5l8c","turtle","40679","","{""image_description"":""a deformed rectangle with three deformed triangles coming from the top right corner""}","study","104","stimuli/104.jpg","6941.74","23","a deformed rectangle with three deformed triangles coming from the top right corner","13"
"","","","","","survey-text","6","2.0.0","201773","pvvs8tb5l8c","turtle","128773","","{""image_description"":""a slanted down straight line at the top with a straight positive slope line coming down from the right with a straight slanted line coming down to the middle of the shape and then a curved line from there connecting to the top left ""}","study","20","stimuli/20.jpg","6629.9","6","a slanted down straight line at the top with a straight positive slope line coming down from the right with a straight slanted line coming down to the middle of the shape and then a curved line from there connecting to the top left ","45"
"","","","","","survey-text","7","2.0.0","224492","pvvs8tb5l8c","turtle","22211","","{""image_description"":""an arrow shape pointing up and right ""}","study","28","stimuli/28.jpg","6676.6","8","an arrow shape pointing up and right ","8"
"","","","","","survey-text","8","2.0.0","303111","pvvs8tb5l8c","turtle","78109","","{""image_description"":""a larger rectangle type of shape that has spaces cut out because the bottom line is kind of zig zag and then at the top a wonky triangle connected""}","study","109","stimuli/109.jpg","6984.61","24","a larger rectangle type of shape that has spaces cut out because the bottom line is kind of zig zag and then at the top a wonky triangle connected","29"
"","","","","","survey-text","9","2.0.0","364604","pvvs8tb5l8c","turtle","60984","","{""image_description"":""to triangles pointing up and left at the top and a rectangle on the right top pointing up and right and at the bottom a slanted rectangle ""}","study","53","stimuli/53.jpg","6758.52","13","to triangles pointing up and left at the top and a rectangle on the right top pointing up and right and at the bottom a slanted rectangle ","28"
