"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","697","pjq3ncgdq2t","flamingo","","","","","","","","","",""
"true","","","","","fullscreen","1","null","16675","pjq3ncgdq2t","flamingo","14974","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","37101","pjq3ncgdq2t","flamingo","20424","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","43457","pjq3ncgdq2t","flamingo","6352","","{""participant_id"":""flamingo""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","55723","pjq3ncgdq2t","flamingo","12260","","{""image_description"":""4 lines making a square""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","102118","pjq3ncgdq2t","flamingo","45890","","{""image_description"":""A cat holding a knife up in both hands, head tilted slightly up.\n""}","study","91","stimuli/91.jpg","6985.65","21","A cat holding a knife up in both hands, head tilted slightly up.
","13"
"","","","","","survey-text","6","2.0.0","194699","pjq3ncgdq2t","flamingo","92076","","{""image_description"":""a disfigured circle with 6 indentations that make it turn into a disfigured star ( 7 sharp edges).""}","study","158","stimuli/158.jpg","7134.9","34","a disfigured circle with 6 indentations that make it turn into a disfigured star ( 7 sharp edges).","18"
"","","","","","survey-text","7","2.0.0","365001","pjq3ncgdq2t","flamingo","169794","","{""image_description"":""The outline of phineas' head mixed in with a bigger outline of his head.""}","study","107","stimuli/107.jpg","6920.13","24","The outline of phineas' head mixed in with a bigger outline of his head.","14"
"","","","","","survey-text","8","2.0.0","433449","pjq3ncgdq2t","flamingo","67943","","{""image_description"":""Looks like two legs at the bottom with the rest beig two huge arms coming from it.""}","study","126","stimuli/126.jpg","7003.01","28","Looks like two legs at the bottom with the rest beig two huge arms coming from it.","17"
"","","","","","survey-text","9","2.0.0","485492","pjq3ncgdq2t","flamingo","51538","","{""image_description"":""I see a christmas tree with small wings and a chimney. ""}","study","153","stimuli/153.jpg","7262.77","33","I see a christmas tree with small wings and a chimney. ","12"
