"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","652","pscsu9tl1a3","moose","","","","","","","","","",""
"true","","","","","fullscreen","1","null","4537","pscsu9tl1a3","moose","2866","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","14612","pscsu9tl1a3","moose","10072","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","17800","pscsu9tl1a3","moose","3160","","{""participant_id"":""moose""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","33333","pscsu9tl1a3","moose","15509","","{""image_description"":""a rectangle close to a perfect square""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","144320","pscsu9tl1a3","moose","110471","","{""image_description"":""A star-like object with a triangular head, close to a triangle on the right point. It has two \""legs\"" with the right leg being bent slightly, and on the top left corner there are two edges perpendicular to one another.""}","study","153","stimuli/153.jpg","7262.77","33","A star-like object with a triangular head, close to a triangle on the right point. It has two ""legs"" with the right leg being bent slightly, and on the top left corner there are two edges perpendicular to one another.","40"
"","","","","","survey-text","6","2.0.0","208142","pscsu9tl1a3","moose","63316","","{""image_description"":""A pentagon that is flat at the top, and the bottom two sides are elongated and leaning towards the bottom right.""}","study","15","stimuli/15.jpg","6585.63","5","A pentagon that is flat at the top, and the bottom two sides are elongated and leaning towards the bottom right.","21"
"","","","","","survey-text","7","2.0.0","280578","pscsu9tl1a3","moose","71931","","{""image_description"":""What looks like an animal with a tail on the top left made of a dented triangle, and a head made up of two triangles joined together with the bottom triangle facing downwards. The bottom edges are more flat, with two edges pointing away from each other.""}","study","148","stimuli/148.jpg","7141.91","32","What looks like an animal with a tail on the top left made of a dented triangle, and a head made up of two triangles joined together with the bottom triangle facing downwards. The bottom edges are more flat, with two edges pointing away from each other.","47"
"","","","","","survey-text","8","2.0.0","327090","pscsu9tl1a3","moose","45991","","{""image_description"":""A bowtie-like shape with a wider right side, and a similar \""triangle\"" shape on the left but with one edge that points further away to the top left.""}","study","23","stimuli/23.jpg","6577.38","7","A bowtie-like shape with a wider right side, and a similar ""triangle"" shape on the left but with one edge that points further away to the top left.","28"
"","","","","","survey-text","9","2.0.0","347838","pscsu9tl1a3","moose","20236","","{""image_description"":""A trapezoid slightly rotated to the left""}","study","9","stimuli/9.jpg","6544.29","4","A trapezoid slightly rotated to the left","7"
