"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","1091","pj73gzxllrw","parrot","","","","","","","","","",""
"true","","","","","fullscreen","1","null","3880","pj73gzxllrw","parrot","1786","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","37348","pj73gzxllrw","parrot","33466","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","59652","pj73gzxllrw","parrot","22299","","{""participant_id"":""parrot""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","101156","pj73gzxllrw","parrot","41495","","{""image_description"":""A square with a black outline and nothing on the inside, so overall just a white square with a black outline. ""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","135232","pj73gzxllrw","parrot","33574","","{""image_description"":""Kinda looks like a state with 14 edges or so, random jadged edges in some area.\n""}","study","68","stimuli/68.jpg","6783.11","16","Kinda looks like a state with 14 edges or so, random jadged edges in some area.
","16"
"","","","","","survey-text","6","2.0.0","186702","pj73gzxllrw","parrot","50964","","{""image_description"":""Triangle with a flattened top, turned on a 250 degree angle.\n""}","study","12","stimuli/12.jpg","6544.99","5","Triangle with a flattened top, turned on a 250 degree angle.
","11"
"","","","","","survey-text","7","2.0.0","237719","pj73gzxllrw","parrot","50514","","{""image_description"":""Jagged image again with lots of curves and edges, no real pattern just a shape with lots of curves and edges. ""}","study","157","stimuli/157.jpg","7214.07","34","Jagged image again with lots of curves and edges, no real pattern just a shape with lots of curves and edges. ","22"
"","","","","","survey-text","8","2.0.0","275824","pj73gzxllrw","parrot","37600","","{""image_description"":""6 edges and a triangular shape that creates a shape that is like a mix of a triangle and trapezoid. ""}","study","18","stimuli/18.jpg","6619.38","6","6 edges and a triangular shape that creates a shape that is like a mix of a triangle and trapezoid. ","21"
"","","","","","survey-text","9","2.0.0","298433","pj73gzxllrw","parrot","22104","","{""image_description"":""Kinda looks like a dog pointing his nose up with no legs.""}","study","106","stimuli/106.jpg","6901.59","24","Kinda looks like a dog pointing his nose up with no legs.","12"
"","","","","","survey-text","10","2.0.0","316629","pj73gzxllrw","parrot","17693","","{""image_description"":""Looks like an elephant with 2 legs pointing downward. ""}","study","59","stimuli/59.jpg","6820.36","14","Looks like an elephant with 2 legs pointing downward. ","10"
