"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","1054","psb4tdcw9gs","p73","","","","","","","","","",""
"true","","","","","fullscreen","1","null","5402","psb4tdcw9gs","p73","3343","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","15953","psb4tdcw9gs","p73","10548","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>","b","","","","","","",""
"","","","","","survey-text","3","2.0.0","19364","psb4tdcw9gs","p73","3407","","{""participant_id"":""p73""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","56228","psb4tdcw9gs","p73","36862","","{""image_description"":""square with horizontal lines slightly longer than its vertical lines""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","157795","psb4tdcw9gs","p73","101063","","{""image_description"":""weird shape that looks kind of like a bubbled x but its dimensions are super weird the axes facing top left and bottom right are pointy and the others are more square; overall it kind of resembles a bird or the flying dinosaur\n""}","study","75","stimuli/75.jpg","6817.48","17","weird shape that looks kind of like a bubbled x but its dimensions are super weird the axes facing top left and bottom right are pointy and the others are more square; overall it kind of resembles a bird or the flying dinosaur
","43"
"","","","","","survey-text","6","2.0.0","175787","psb4tdcw9gs","p73","17487","","{""image_description"":""quadrilateral with smooth top right corner\n""}","study","11","stimuli/11.jpg","6580.42","5","quadrilateral with smooth top right corner
","6"
"","","","","","survey-text","7","2.0.0","199630","psb4tdcw9gs","p73","23337","","{""image_description"":""its giving american state with peninsula at the bottom right\n""}","study","50","stimuli/50.jpg","6725.34","12","its giving american state with peninsula at the bottom right
","10"
"","","","","","survey-text","8","2.0.0","252312","psb4tdcw9gs","p73","52174","","{""image_description"":""like the top left piece of a puzzle as in it is square on the left but has three subcomponents on the right\n\n""}","study","31","stimuli/31.jpg","6687.71","9","like the top left piece of a puzzle as in it is square on the left but has three subcomponents on the right

","23"
"","","","","","survey-text","9","2.0.0","293198","psb4tdcw9gs","p73","40380","","{""image_description"":""crazy breaks on this one kind of looks like a devil figure pumping its fist in the air (also stanky leg)""}","study","147","stimuli/147.jpg","7182.98","32","crazy breaks on this one kind of looks like a devil figure pumping its fist in the air (also stanky leg)","21"
"","","","","","survey-text","10","2.0.0","318056","psb4tdcw9gs","p73","24352","","{""image_description"":""two flags at the top and has a foot\n""}","study","85","stimuli/85.jpg","6831.41","19","two flags at the top and has a foot
","9"
"","","","","","survey-text","11","2.0.0","337855","psb4tdcw9gs","p73","19292","","{""image_description"":""bird\n""}","study","119","stimuli/119.jpg","7073.52","26","bird
","1"
"","","","","","survey-text","12","2.0.0","344320","psb4tdcw9gs","p73","5960","","{""image_description"":""crown""}","study","34","stimuli/34.jpg","6639.63","9","crown","1"
